index,cell,cell_ontology_class,mouse.id
B22_B000795_B008545_S46.mm10-plus-3-0,B22_B000795,endothelial cell,18_47_F
B2_B000795_B008545_S26.mm10-plus-3-0,B2_B000795,mesenchymal stem cell of adipose,18_47_F
B4_B000795_B008545_S28.mm10-plus-3-0,B4_B000795,mesenchymal stem cell of adipose,18_47_F
B5_B000795_B008545_S29.mm10-plus-3-0,B5_B000795,mesenchymal stem cell of adipose,18_47_F
B6_B000795_B008545_S30.mm10-plus-3-0,B6_B000795,mesenchymal stem cell of adipose,18_47_F
B8_B000795_B008545_S32.mm10-plus-3-0,B8_B000795,mesenchymal stem cell of adipose,18_47_F
B9_B000795_B008545_S33.mm10-plus-3-0,B9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C10_B000795_B008545_S58.mm10-plus-3-0,C10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C11_B000795_B008545_S59.mm10-plus-3-0,C11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C12_B000795_B008545_S60.mm10-plus-3-0,C12_B000795,macrophage,18_47_F
C13_B000795_B008545_S61.mm10-plus-3-0,C13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C14_B000795_B008545_S62.mm10-plus-3-0,C14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C15_B000795_B008545_S63.mm10-plus-3-0,C15_B000795,B cell,18_47_F
C16_B000795_B008545_S64.mm10-plus-3-0,C16_B000795,B cell,18_47_F
C1_B000795_B008545_S49.mm10-plus-3-0,C1_B000795,mesenchymal stem cell of adipose,18_47_F
C20_B000795_B008545_S68.mm10-plus-3-0,C20_B000795,endothelial cell,18_47_F
C21_B000795_B008545_S69.mm10-plus-3-0,C21_B000795,myeloid cell,18_47_F
C2_B000795_B008545_S50.mm10-plus-3-0,C2_B000795,mesenchymal stem cell of adipose,18_47_F
C4_B000795_B008545_S52.mm10-plus-3-0,C4_B000795,macrophage,18_47_F
C5_B000795_B008545_S53.mm10-plus-3-0,C5_B000795,mesenchymal stem cell of adipose,18_47_F
C8_B000795_B008545_S56.mm10-plus-3-0,C8_B000795,mesenchymal stem cell of adipose,18_47_F
C9_B000795_B008545_S57.mm10-plus-3-0,C9_B000795,B cell,18_47_F
D10_B000795_B008545_S82.mm10-plus-3-0,D10_B000795,B cell,18_47_F
D11_B000795_B008545_S83.mm10-plus-3-0,D11_B000795,B cell,18_47_F
D12_B000795_B008545_S84.mm10-plus-3-0,D12_B000795,macrophage,18_47_F
D13_B000795_B008545_S85.mm10-plus-3-0,D13_B000795,B cell,18_47_F
D14_B000795_B008545_S86.mm10-plus-3-0,D14_B000795,"CD4-positive, alpha-beta T cell",18_47_F
D15_B000795_B008545_S87.mm10-plus-3-0,D15_B000795,B cell,18_47_F
D16_B000795_B008545_S88.mm10-plus-3-0,D16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
D1_B000795_B008545_S73.mm10-plus-3-0,D1_B000795,mesenchymal stem cell of adipose,18_47_F
D21_B000795_B008545_S93.mm10-plus-3-0,D21_B000795,mesenchymal stem cell of adipose,18_47_F
D2_B000795_B008545_S74.mm10-plus-3-0,D2_B000795,mesenchymal stem cell of adipose,18_47_F
D3_B000795_B008545_S75.mm10-plus-3-0,D3_B000795,mesenchymal stem cell of adipose,18_47_F
D4_B000795_B008545_S76.mm10-plus-3-0,D4_B000795,mesenchymal stem cell of adipose,18_47_F
D5_B000795_B008545_S77.mm10-plus-3-0,D5_B000795,mesenchymal stem cell of adipose,18_47_F
D6_B000795_B008545_S78.mm10-plus-3-0,D6_B000795,mesenchymal stem cell of adipose,18_47_F
D7_B000795_B008545_S79.mm10-plus-3-0,D7_B000795,"CD4-positive, alpha-beta T cell",18_47_F
D8_B000795_B008545_S80.mm10-plus-3-0,D8_B000795,mesenchymal stem cell of adipose,18_47_F
D9_B000795_B008545_S81.mm10-plus-3-0,D9_B000795,B cell,18_47_F
E10_B000795_B008545_S106.mm10-plus-3-0,E10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
E11_B000795_B008545_S107.mm10-plus-3-0,E11_B000795,B cell,18_47_F
E12_B000795_B008545_S108.mm10-plus-3-0,E12_B000795,B cell,18_47_F
E13_B000795_B008545_S109.mm10-plus-3-0,E13_B000795,B cell,18_47_F
E14_B000795_B008545_S110.mm10-plus-3-0,E14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
E15_B000795_B008545_S111.mm10-plus-3-0,E15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
E16_B000795_B008545_S112.mm10-plus-3-0,E16_B000795,B cell,18_47_F
E18_B000795_B008545_S114.mm10-plus-3-0,E18_B000795,mesenchymal stem cell of adipose,18_47_F
E1_B000795_B008545_S97.mm10-plus-3-0,E1_B000795,mesenchymal stem cell of adipose,18_47_F
E3_B000795_B008545_S99.mm10-plus-3-0,E3_B000795,"CD4-positive, alpha-beta T cell",18_47_F
E4_B000795_B008545_S100.mm10-plus-3-0,E4_B000795,mesenchymal stem cell of adipose,18_47_F
E5_B000795_B008545_S101.mm10-plus-3-0,E5_B000795,mesenchymal stem cell of adipose,18_47_F
E6_B000795_B008545_S102.mm10-plus-3-0,E6_B000795,mesenchymal stem cell of adipose,18_47_F
E8_B000795_B008545_S104.mm10-plus-3-0,E8_B000795,macrophage,18_47_F
E9_B000795_B008545_S105.mm10-plus-3-0,E9_B000795,B cell,18_47_F
F10_B000795_B008545_S130.mm10-plus-3-0,F10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
F11_B000795_B008545_S131.mm10-plus-3-0,F11_B000795,B cell,18_47_F
F12_B000795_B008545_S132.mm10-plus-3-0,F12_B000795,"CD8-positive, alpha-beta T cell",18_47_F
F13_B000795_B008545_S133.mm10-plus-3-0,F13_B000795,B cell,18_47_F
F14_B000795_B008545_S134.mm10-plus-3-0,F14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
F15_B000795_B008545_S135.mm10-plus-3-0,F15_B000795,B cell,18_47_F
F16_B000795_B008545_S136.mm10-plus-3-0,F16_B000795,B cell,18_47_F
F17_B000795_B008545_S137.mm10-plus-3-0,F17_B000795,endothelial cell,18_47_F
F1_B000795_B008545_S121.mm10-plus-3-0,F1_B000795,mesenchymal stem cell of adipose,18_47_F
F3_B000795_B008545_S123.mm10-plus-3-0,F3_B000795,mesenchymal stem cell of adipose,18_47_F
F4_B000795_B008545_S124.mm10-plus-3-0,F4_B000795,mesenchymal stem cell of adipose,18_47_F
F5_B000795_B008545_S125.mm10-plus-3-0,F5_B000795,mesenchymal stem cell of adipose,18_47_F
F6_B000795_B008545_S126.mm10-plus-3-0,F6_B000795,mesenchymal stem cell of adipose,18_47_F
F7_B000795_B008545_S127.mm10-plus-3-0,F7_B000795,"CD4-positive, alpha-beta T cell",18_47_F
F8_B000795_B008545_S128.mm10-plus-3-0,F8_B000795,mesenchymal stem cell of adipose,18_47_F
F9_B000795_B008545_S129.mm10-plus-3-0,F9_B000795,B cell,18_47_F
G10_B000795_B008545_S154.mm10-plus-3-0,G10_B000795,macrophage,18_47_F
G11_B000795_B008545_S155.mm10-plus-3-0,G11_B000795,B cell,18_47_F
G12_B000795_B008545_S156.mm10-plus-3-0,G12_B000795,B cell,18_47_F
G14_B000795_B008545_S158.mm10-plus-3-0,G14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
G16_B000795_B008545_S160.mm10-plus-3-0,G16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
G1_B000795_B008545_S145.mm10-plus-3-0,G1_B000795,mesenchymal stem cell of adipose,18_47_F
G20_B000795_B008545_S164.mm10-plus-3-0,G20_B000795,endothelial cell,18_47_F
G2_B000795_B008545_S146.mm10-plus-3-0,G2_B000795,mesenchymal stem cell of adipose,18_47_F
G3_B000795_B008545_S147.mm10-plus-3-0,G3_B000795,mesenchymal stem cell of adipose,18_47_F
G4_B000795_B008545_S148.mm10-plus-3-0,G4_B000795,"CD4-positive, alpha-beta T cell",18_47_F
G5_B000795_B008545_S149.mm10-plus-3-0,G5_B000795,mesenchymal stem cell of adipose,18_47_F
G6_B000795_B008545_S150.mm10-plus-3-0,G6_B000795,mesenchymal stem cell of adipose,18_47_F
G7_B000795_B008545_S151.mm10-plus-3-0,G7_B000795,mesenchymal stem cell of adipose,18_47_F
G9_B000795_B008545_S153.mm10-plus-3-0,G9_B000795,macrophage,18_47_F
H10_B000795_B008545_S178.mm10-plus-3-0,H10_B000795,B cell,18_47_F
H11_B000795_B008545_S179.mm10-plus-3-0,H11_B000795,B cell,18_47_F
H12_B000795_B008545_S180.mm10-plus-3-0,H12_B000795,"CD8-positive, alpha-beta T cell",18_47_F
H13_B000795_B008545_S181.mm10-plus-3-0,H13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
H14_B000795_B008545_S182.mm10-plus-3-0,H14_B000795,B cell,18_47_F
H15_B000795_B008545_S183.mm10-plus-3-0,H15_B000795,B cell,18_47_F
H16_B000795_B008545_S184.mm10-plus-3-0,H16_B000795,B cell,18_47_F
H17_B000795_B008545_S185.mm10-plus-3-0,H17_B000795,mesenchymal stem cell of adipose,18_47_F
H1_B000795_B008545_S169.mm10-plus-3-0,H1_B000795,mesenchymal stem cell of adipose,18_47_F
H21_B000795_B008545_S189.mm10-plus-3-0,H21_B000795,mesenchymal stem cell of adipose,18_47_F
H22_B000795_B008545_S190.mm10-plus-3-0,H22_B000795,endothelial cell,18_47_F
H2_B000795_B008545_S170.mm10-plus-3-0,H2_B000795,mesenchymal stem cell of adipose,18_47_F
H3_B000795_B008545_S171.mm10-plus-3-0,H3_B000795,"CD4-positive, alpha-beta T cell",18_47_F
H4_B000795_B008545_S172.mm10-plus-3-0,H4_B000795,mesenchymal stem cell of adipose,18_47_F
H5_B000795_B008545_S173.mm10-plus-3-0,H5_B000795,"CD4-positive, alpha-beta T cell",18_47_F
H7_B000795_B008545_S175.mm10-plus-3-0,H7_B000795,mesenchymal stem cell of adipose,18_47_F
H8_B000795_B008545_S176.mm10-plus-3-0,H8_B000795,mesenchymal stem cell of adipose,18_47_F
H9_B000795_B008545_S177.mm10-plus-3-0,H9_B000795,myeloid cell,18_47_F
I10_B000795_B008545_S202.mm10-plus-3-0,I10_B000795,B cell,18_47_F
I11_B000795_B008545_S203.mm10-plus-3-0,I11_B000795,"CD4-positive, alpha-beta T cell",18_47_F
I12_B000795_B008545_S204.mm10-plus-3-0,I12_B000795,macrophage,18_47_F
I13_B000795_B008545_S205.mm10-plus-3-0,I13_B000795,B cell,18_47_F
I14_B000795_B008545_S206.mm10-plus-3-0,I14_B000795,B cell,18_47_F
I16_B000795_B008545_S208.mm10-plus-3-0,I16_B000795,B cell,18_47_F
I18_B000795_B008545_S210.mm10-plus-3-0,I18_B000795,endothelial cell,18_47_F
I19_B000795_B008545_S211.mm10-plus-3-0,I19_B000795,endothelial cell,18_47_F
I1_B000795_B008545_S193.mm10-plus-3-0,I1_B000795,mesenchymal stem cell of adipose,18_47_F
I2_B000795_B008545_S194.mm10-plus-3-0,I2_B000795,mesenchymal stem cell of adipose,18_47_F
I3_B000795_B008545_S195.mm10-plus-3-0,I3_B000795,mesenchymal stem cell of adipose,18_47_F
I4_B000795_B008545_S196.mm10-plus-3-0,I4_B000795,mesenchymal stem cell of adipose,18_47_F
I5_B000795_B008545_S197.mm10-plus-3-0,I5_B000795,mesenchymal stem cell of adipose,18_47_F
I6_B000795_B008545_S198.mm10-plus-3-0,I6_B000795,mesenchymal stem cell of adipose,18_47_F
I7_B000795_B008545_S199.mm10-plus-3-0,I7_B000795,mesenchymal stem cell of adipose,18_47_F
I8_B000795_B008545_S200.mm10-plus-3-0,I8_B000795,mesenchymal stem cell of adipose,18_47_F
I9_B000795_B008545_S201.mm10-plus-3-0,I9_B000795,B cell,18_47_F
J10_B000795_B008545_S226.mm10-plus-3-0,J10_B000795,macrophage,18_47_F
J11_B000795_B008545_S227.mm10-plus-3-0,J11_B000795,"CD4-positive, alpha-beta T cell",18_47_F
J12_B000795_B008545_S228.mm10-plus-3-0,J12_B000795,B cell,18_47_F
J13_B000795_B008545_S229.mm10-plus-3-0,J13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
J14_B000795_B008545_S230.mm10-plus-3-0,J14_B000795,B cell,18_47_F
J15_B000795_B008545_S231.mm10-plus-3-0,J15_B000795,B cell,18_47_F
J16_B000795_B008545_S232.mm10-plus-3-0,J16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
J1_B000795_B008545_S217.mm10-plus-3-0,J1_B000795,T cell,18_47_F
J2_B000795_B008545_S218.mm10-plus-3-0,J2_B000795,mesenchymal stem cell of adipose,18_47_F
J3_B000795_B008545_S219.mm10-plus-3-0,J3_B000795,mesenchymal stem cell of adipose,18_47_F
J4_B000795_B008545_S220.mm10-plus-3-0,J4_B000795,mesenchymal stem cell of adipose,18_47_F
J5_B000795_B008545_S221.mm10-plus-3-0,J5_B000795,mesenchymal stem cell of adipose,18_47_F
J6_B000795_B008545_S222.mm10-plus-3-0,J6_B000795,mesenchymal stem cell of adipose,18_47_F
J7_B000795_B008545_S223.mm10-plus-3-0,J7_B000795,mesenchymal stem cell of adipose,18_47_F
J8_B000795_B008545_S224.mm10-plus-3-0,J8_B000795,mesenchymal stem cell of adipose,18_47_F
J9_B000795_B008545_S225.mm10-plus-3-0,J9_B000795,macrophage,18_47_F
K11_B000795_B008545_S251.mm10-plus-3-0,K11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
K12_B000795_B008545_S252.mm10-plus-3-0,K12_B000795,"CD4-positive, alpha-beta T cell",18_47_F
K13_B000795_B008545_S253.mm10-plus-3-0,K13_B000795,B cell,18_47_F
K14_B000795_B008545_S254.mm10-plus-3-0,K14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
K15_B000795_B008545_S255.mm10-plus-3-0,K15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
K16_B000795_B008545_S256.mm10-plus-3-0,K16_B000795,B cell,18_47_F
K17_B000795_B008545_S257.mm10-plus-3-0,K17_B000795,endothelial cell,18_47_F
K1_B000795_B008545_S241.mm10-plus-3-0,K1_B000795,"CD4-positive, alpha-beta T cell",18_47_F
K2_B000795_B008545_S242.mm10-plus-3-0,K2_B000795,macrophage,18_47_F
K3_B000795_B008545_S243.mm10-plus-3-0,K3_B000795,mesenchymal stem cell of adipose,18_47_F
K4_B000795_B008545_S244.mm10-plus-3-0,K4_B000795,mesenchymal stem cell of adipose,18_47_F
K5_B000795_B008545_S245.mm10-plus-3-0,K5_B000795,mesenchymal stem cell of adipose,18_47_F
K6_B000795_B008545_S246.mm10-plus-3-0,K6_B000795,mesenchymal stem cell of adipose,18_47_F
K7_B000795_B008545_S247.mm10-plus-3-0,K7_B000795,"CD4-positive, alpha-beta T cell",18_47_F
K8_B000795_B008545_S248.mm10-plus-3-0,K8_B000795,endothelial cell,18_47_F
K9_B000795_B008545_S249.mm10-plus-3-0,K9_B000795,macrophage,18_47_F
L10_B000795_B008545_S274.mm10-plus-3-0,L10_B000795,B cell,18_47_F
L11_B000795_B008545_S275.mm10-plus-3-0,L11_B000795,B cell,18_47_F
L12_B000795_B008545_S276.mm10-plus-3-0,L12_B000795,B cell,18_47_F
L13_B000795_B008545_S277.mm10-plus-3-0,L13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
L14_B000795_B008545_S278.mm10-plus-3-0,L14_B000795,B cell,18_47_F
L15_B000795_B008545_S279.mm10-plus-3-0,L15_B000795,B cell,18_47_F
L16_B000795_B008545_S280.mm10-plus-3-0,L16_B000795,macrophage,18_47_F
L1_B000795_B008545_S265.mm10-plus-3-0,L1_B000795,mesenchymal stem cell of adipose,18_47_F
L2_B000795_B008545_S266.mm10-plus-3-0,L2_B000795,mesenchymal stem cell of adipose,18_47_F
L3_B000795_B008545_S267.mm10-plus-3-0,L3_B000795,mesenchymal stem cell of adipose,18_47_F
L4_B000795_B008545_S268.mm10-plus-3-0,L4_B000795,mesenchymal stem cell of adipose,18_47_F
L5_B000795_B008545_S269.mm10-plus-3-0,L5_B000795,"CD4-positive, alpha-beta T cell",18_47_F
L6_B000795_B008545_S270.mm10-plus-3-0,L6_B000795,mesenchymal stem cell of adipose,18_47_F
L7_B000795_B008545_S271.mm10-plus-3-0,L7_B000795,mesenchymal stem cell of adipose,18_47_F
L8_B000795_B008545_S272.mm10-plus-3-0,L8_B000795,mesenchymal stem cell of adipose,18_47_F
L9_B000795_B008545_S273.mm10-plus-3-0,L9_B000795,B cell,18_47_F
M10_B000795_B008545_S298.mm10-plus-3-0,M10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
M11_B000795_B008545_S299.mm10-plus-3-0,M11_B000795,"CD4-positive, alpha-beta T cell",18_47_F
M12_B000795_B008545_S300.mm10-plus-3-0,M12_B000795,B cell,18_47_F
M13_B000795_B008545_S301.mm10-plus-3-0,M13_B000795,"CD4-positive, alpha-beta T cell",18_47_F
M14_B000795_B008545_S302.mm10-plus-3-0,M14_B000795,B cell,18_47_F
M15_B000795_B008545_S303.mm10-plus-3-0,M15_B000795,B cell,18_47_F
M16_B000795_B008545_S304.mm10-plus-3-0,M16_B000795,B cell,18_47_F
M19_B000795_B008545_S307.mm10-plus-3-0,M19_B000795,endothelial cell,18_47_F
M1_B000795_B008545_S289.mm10-plus-3-0,M1_B000795,mesenchymal stem cell of adipose,18_47_F
M22_B000795_B008545_S310.mm10-plus-3-0,M22_B000795,endothelial cell,18_47_F
M2_B000795_B008545_S290.mm10-plus-3-0,M2_B000795,mesenchymal stem cell of adipose,18_47_F
M3_B000795_B008545_S291.mm10-plus-3-0,M3_B000795,mesenchymal stem cell of adipose,18_47_F
M4_B000795_B008545_S292.mm10-plus-3-0,M4_B000795,mesenchymal stem cell of adipose,18_47_F
M5_B000795_B008545_S293.mm10-plus-3-0,M5_B000795,mesenchymal stem cell of adipose,18_47_F
M6_B000795_B008545_S294.mm10-plus-3-0,M6_B000795,mesenchymal stem cell of adipose,18_47_F
M7_B000795_B008545_S295.mm10-plus-3-0,M7_B000795,mesenchymal stem cell of adipose,18_47_F
M8_B000795_B008545_S296.mm10-plus-3-0,M8_B000795,mesenchymal stem cell of adipose,18_47_F
M9_B000795_B008545_S297.mm10-plus-3-0,M9_B000795,B cell,18_47_F
N10_B000795_B008545_S322.mm10-plus-3-0,N10_B000795,"CD4-positive, alpha-beta T cell",18_47_F
N11_B000795_B008545_S323.mm10-plus-3-0,N11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
N12_B000795_B008545_S324.mm10-plus-3-0,N12_B000795,"CD8-positive, alpha-beta T cell",18_47_F
N14_B000795_B008545_S326.mm10-plus-3-0,N14_B000795,macrophage,18_47_F
N17_B000795_B008545_S329.mm10-plus-3-0,N17_B000795,endothelial cell,18_47_F
N19_B000795_B008545_S331.mm10-plus-3-0,N19_B000795,endothelial cell,18_47_F
N1_B000795_B008545_S313.mm10-plus-3-0,N1_B000795,mesenchymal stem cell of adipose,18_47_F
N2_B000795_B008545_S314.mm10-plus-3-0,N2_B000795,mesenchymal stem cell of adipose,18_47_F
N4_B000795_B008545_S316.mm10-plus-3-0,N4_B000795,mesenchymal stem cell of adipose,18_47_F
N6_B000795_B008545_S318.mm10-plus-3-0,N6_B000795,"CD4-positive, alpha-beta T cell",18_47_F
N7_B000795_B008545_S319.mm10-plus-3-0,N7_B000795,mesenchymal stem cell of adipose,18_47_F
N8_B000795_B008545_S320.mm10-plus-3-0,N8_B000795,"CD4-positive, alpha-beta T cell",18_47_F
N9_B000795_B008545_S321.mm10-plus-3-0,N9_B000795,macrophage,18_47_F
O10_B000795_B008545_S346.mm10-plus-3-0,O10_B000795,B cell,18_47_F
O11_B000795_B008545_S347.mm10-plus-3-0,O11_B000795,B cell,18_47_F
O12_B000795_B008545_S348.mm10-plus-3-0,O12_B000795,B cell,18_47_F
O16_B000795_B008545_S352.mm10-plus-3-0,O16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
O1_B000795_B008545_S337.mm10-plus-3-0,O1_B000795,"CD4-positive, alpha-beta T cell",18_47_F
O2_B000795_B008545_S338.mm10-plus-3-0,O2_B000795,"CD4-positive, alpha-beta T cell",18_47_F
O3_B000795_B008545_S339.mm10-plus-3-0,O3_B000795,mesenchymal stem cell of adipose,18_47_F
O4_B000795_B008545_S340.mm10-plus-3-0,O4_B000795,mesenchymal stem cell of adipose,18_47_F
O5_B000795_B008545_S341.mm10-plus-3-0,O5_B000795,"CD4-positive, alpha-beta T cell",18_47_F
O6_B000795_B008545_S342.mm10-plus-3-0,O6_B000795,mesenchymal stem cell of adipose,18_47_F
O7_B000795_B008545_S343.mm10-plus-3-0,O7_B000795,mesenchymal stem cell of adipose,18_47_F
O8_B000795_B008545_S344.mm10-plus-3-0,O8_B000795,mesenchymal stem cell of adipose,18_47_F
O9_B000795_B008545_S345.mm10-plus-3-0,O9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P12_B000795_B008545_S372.mm10-plus-3-0,P12_B000795,B cell,18_47_F
P13_B000795_B008545_S373.mm10-plus-3-0,P13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P14_B000795_B008545_S374.mm10-plus-3-0,P14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P15_B000795_B008545_S375.mm10-plus-3-0,P15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P16_B000795_B008545_S376.mm10-plus-3-0,P16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P1_B000795_B008545_S361.mm10-plus-3-0,P1_B000795,mesenchymal stem cell of adipose,18_47_F
P2_B000795_B008545_S362.mm10-plus-3-0,P2_B000795,mesenchymal stem cell of adipose,18_47_F
P3_B000795_B008545_S363.mm10-plus-3-0,P3_B000795,mesenchymal stem cell of adipose,18_47_F
P4_B000795_B008545_S364.mm10-plus-3-0,P4_B000795,mesenchymal stem cell of adipose,18_47_F
P5_B000795_B008545_S365.mm10-plus-3-0,P5_B000795,mesenchymal stem cell of adipose,18_47_F
P7_B000795_B008545_S367.mm10-plus-3-0,P7_B000795,mesenchymal stem cell of adipose,18_47_F
P8_B000795_B008545_S368.mm10-plus-3-0,P8_B000795,mesenchymal stem cell of adipose,18_47_F
P9_B000795_B008545_S369.mm10-plus-3-0,P9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A10_B000477_B008543_S10.mm10-plus-6-0,A10_B000477,myeloid cell,18_53_M
A10_B000806_B008540_S10.mm10-plus-6-0,A10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
A11_B000477_B008543_S11.mm10-plus-6-0,A11_B000477,macrophage,18_53_M
A11_B000806_B008540_S11.mm10-plus-6-0,A11_B000806,macrophage,18_46_F
A12_B000477_B008543_S12.mm10-plus-6-0,A12_B000477,"CD8-positive, alpha-beta T cell",18_53_M
A12_B000806_B008540_S12.mm10-plus-6-0,A12_B000806,macrophage,18_46_F
A13_B000477_B008543_S13.mm10-plus-6-0,A13_B000477,myeloid cell,18_53_M
A13_B000806_B008540_S13.mm10-plus-6-0,A13_B000806,B cell,18_46_F
A14_B000806_B008540_S14.mm10-plus-6-0,A14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
A15_B000477_B008543_S15.mm10-plus-6-0,A15_B000477,"CD8-positive, alpha-beta T cell",18_53_M
A16_B000477_B008543_S16.mm10-plus-6-0,A16_B000477,myeloid cell,18_53_M
A16_B000806_B008540_S16.mm10-plus-6-0,A16_B000806,macrophage,18_46_F
A17_B000477_B008543_S17.mm10-plus-6-0,A17_B000477,endothelial cell,18_53_M
A1_B000806_B008540_S1.mm10-plus-6-0,A1_B000806,mesenchymal stem cell of adipose,18_46_F
A21_B000477_B008543_S21.mm10-plus-6-0,A21_B000477,endothelial cell,18_53_M
A22_B000477_B008543_S22.mm10-plus-6-0,A22_B000477,mesenchymal stem cell of adipose,18_53_M
A2_B000477_B008543_S2.mm10-plus-6-0,A2_B000477,mesenchymal stem cell of adipose,18_53_M
A2_B000806_B008540_S2.mm10-plus-6-0,A2_B000806,mesenchymal stem cell of adipose,18_46_F
A3_B000477_B008543_S3.mm10-plus-6-0,A3_B000477,mesenchymal stem cell of adipose,18_53_M
A3_B000806_B008540_S3.mm10-plus-6-0,A3_B000806,mesenchymal stem cell of adipose,18_46_F
A4_B000477_B008543_S4.mm10-plus-6-0,A4_B000477,mesenchymal stem cell of adipose,18_53_M
A4_B000806_B008540_S4.mm10-plus-6-0,A4_B000806,mesenchymal stem cell of adipose,18_46_F
A5_B000477_B008543_S5.mm10-plus-6-0,A5_B000477,mesenchymal stem cell of adipose,18_53_M
A5_B000806_B008540_S5.mm10-plus-6-0,A5_B000806,mesenchymal stem cell of adipose,18_46_F
A6_B000477_B008543_S6.mm10-plus-6-0,A6_B000477,mesenchymal stem cell of adipose,18_53_M
A6_B000806_B008540_S6.mm10-plus-6-0,A6_B000806,mesenchymal stem cell of adipose,18_46_F
A7_B000477_B008543_S7.mm10-plus-6-0,A7_B000477,mesenchymal stem cell of adipose,18_53_M
A7_B000806_B008540_S7.mm10-plus-6-0,A7_B000806,mesenchymal stem cell of adipose,18_46_F
A8_B000477_B008543_S8.mm10-plus-6-0,A8_B000477,mesenchymal stem cell of adipose,18_53_M
A9_B000477_B008543_S9.mm10-plus-6-0,A9_B000477,NK cell,18_53_M
A9_B000806_B008540_S9.mm10-plus-6-0,A9_B000806,B cell,18_46_F
B10_B000477_B008543_S34.mm10-plus-6-0,B10_B000477,myeloid cell,18_53_M
B10_B000806_B008540_S34.mm10-plus-6-0,B10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
